algorithm,array_length,time
plain,128,1.05393e-05
plain,256,1.11909e-05
plain,512,1.24652e-05
plain,1024,1.31015e-05
plain,2048,2.05566e-05
plain,4096,3.00365e-05
plain,8192,5.20714e-05
plain,16384,8.21525e-05
auto,128,1.07455e-05
auto,256,1.14884e-05
auto,512,1.16329e-05
auto,1024,1.21016e-05
auto,2048,1.82716e-05
auto,4096,3.2413e-05
auto,8192,5.44998e-05
auto,16384,8.954e-05
