algorithm,array_length,time
plain,128,6.55874e-06
plain,256,7.60896e-06
plain,512,1.06856e-05
plain,1024,1.62711e-05
plain,2048,2.7929e-05
plain,4096,5.05665e-05
plain,8192,9.46497e-05
plain,16384,0.00018755
auto,128,5.93386e-06
auto,256,7.86736e-06
auto,512,9.68278e-06
auto,1024,1.24476e-05
auto,2048,1.71976e-05
auto,4096,2.67017e-05
auto,8192,4.02455e-05
auto,16384,7.0792e-05
