algorithm,array_length,time
plain,128,6.74264e-06
plain,256,7.53692e-06
plain,512,1.05057e-05
plain,1024,1.63952e-05
plain,2048,2.85608e-05
plain,4096,4.99976e-05
plain,8192,9.533e-05
plain,16384,0.000186542
auto,128,6.97554e-06
auto,256,7.38098e-06
auto,512,9.1367e-06
auto,1024,1.23843e-05
auto,2048,1.83268e-05
auto,4096,2.62108e-05
auto,8192,4.01128e-05
auto,16384,7.32032e-05
